skin,age,periode,content,buy,recommend,likes
"Oily, Medium Light, Cool",25 - 29, 1 month - 3 months,"Beli ini impulsif aja karena murah lol. Walaupun di labelnya buat dry skin sedangkan kulitku normal-to-oily, di aku tetep cocok. Teksturnya agak lebih kental dari varian Light Lotion (ijo), tapi ga lengket. Karena dia ga se-watery yang ijo, aku pakenya cuma 4-5 tetes dan cuma 1x layer udah cukup buat muka dan leher. Dan karena cuma butuh sedikit, jadi awet banget berbulan-bulan. Aku pakenya langsung dilayer moisturizer pas masih lembap karena hydrating products harus langsung dikunci sama occlusive biar kelembapan dari humectants kaya hyaluronic acid (HA) ga cepet menguap. Baru kali ini ngerasain efek plumping yang instant dari produk yang key ingredientsnya HA. Aku pribadi ga terlalu tertarik sama HA karena selama ini efeknya biasa aja di aku dan menurutku overrated. Tapi di produk ini baru kerasa efeknya, so I can see why people like this product. Kalo yang ijo kurang kerasa efek plumpingnya di aku. Tapi emang efek HA temporary sih, jadi aku ga terlalu berharap bakal ngefek jangka panjang. This is still a great hydrating product though, and tbh Iâd chose this over other overpriced HA serums any day. Ingredientsnya ga aneh-aneh, no fragrance, no essential oils. Harga terjangkau dan gampang ditemuin di mana-mana.", Watson,recommends this product!,5
"Normal, Medium Dark, Warm",19 - 24, More than 1 year,"Toner pertamaku dan suka banget. Teksturnya ringan dan cair. Cukup melembabkan juga. Biasanya aku pake beberapa layer. So far cocok dikulit aku. Mama juga suka pake. Pakenya agak banyakan juga lumayan awet, gak habis habis. Udah habis beberapa botol.", Transmart,recommends this product!,0
19 - 24,19 - 24, 1 month - 3 months,"First time nyoba produk ini yang 30ml dan gak ada efek samping apa pun. Jadi karena udah abis, aku beli sekalian yang 100mlnya.Teksturnya cair dan gak berbau tajam, friendly for my skin, it soothes and hydrates but not pricey at all. My experience with this product so far so good. Recommended! ", Shopee,recommends this product!,0
"Normal, Medium Light, Neutral",19 - 24, 6 months - 1 year,"produk ini pernah vital dan jadilah susah untuk ku pengguna lama menemukannya uu teksturnya cair tapi dan tidak berbau sama sekali, cepet meresap dan beneran bikin kulit jadi lembab dan kenyal. pakai ini udah lama banget dia juga bikin wajah jadi cerah dan ternutrisi", Transmart,recommends this product!,0
"Dry, Medium, Neutral",19 - 24, More than 1 year,Hydrating Toner andalan banget udah repurchase beberapa kali dari sebelum pandemi sampe sekarang pake terus. comfort product buat aku banget must try buat yg punya kulit kering bikin lembab kulit muka kitaâ¤ï¸, Tokopedia,recommends this product!,0
19 - 24,19 - 24, 1 month - 3 months,"gacocokkkkk. emang bener jangan ekspektasi kebanyakan sama produk yg hype di orang pasti nanti susah cocoknya di muka kita sendiri ð¹ awal-awalnya lumayan sih ngelembapin juga cuma makin lama dia kaya bikin wajah aku gradakan dan jerawatan? sensitif sih kulit aku jadi mungkin gacocok buat yg sensitif acne prone, aku saranin coba yg premium deh, lebih bagussss", Shopee,doesn't recommend this product! ,0
"Combination, Medium Light, Warm",18 and Under, 6 months - 1 year,"dia ada banget efek hydrate nya, apalgi klo aku lagi seringn di dalam ruangan ber ac dan bikin kulitku kering samps ngelupas. toner yg ini bener bener ngebantu lembabin banget. setela pemakain -+ setahun menurutku dikit demi sedikit, dia ada efek brighteningnya (tp emang proses nya lama bgt)", Shopee,recommends this product!,0
"Dry, Light, Cool",35 - 39, More than 1 year,"ini harusnya masuk dalam kategori produk terbaik di seluruh dunia.
kegunaannya sih sebetulnya untuk toner, tapi aku pakenya untuk essence (setelah toner). karna teksturnya lumayan kental, bukan cair selayaknya toner. ini seharusnya produk dengan kata ""wajib banget ada"" sih di rangkaian skincare semua cewek.
efek lembab nya tuh berasa banget, harganya murah, satu botol baru abis sekitar 3 bulanan, itupun aku pakenya udah boros banget.
cobain deh, kualitasnya gak ada yang ngalahin!", Tokopedia,recommends this product!,0
"Oily, Light, Cool",18 and Under, Less than 1 week,"Alhamdulillah cocok. tekstur nya sedikit gel, tidak sepenuhnya air. Hasil akhir semi matte. Bikin muka kenyal halus gituu. Tidak ada parfum, ingredients minimalis (sensitive skin friendly?) oke bgt buat melembabkan. untuk dry skin mungkin bisa pakai bbrp layer. Sy combi to oily cukup 1 layer dan 2 layer untuk kedua pipi.", Shopee,,1
"Oily, Medium, Neutral",19 - 24, More than 1 year,"Kenangan di hati ð walau udah gk beli krn ngurangin budget skincare, tapi ini emang bagus bgt bahkan lebih enak ini ketimbang yg gokujyun premium. Bisa dilayer berkali2, ampuh buat nambah hidrasi kulit, bahkan bisa buat bibir sblm pake lipblam/petroleum jelly. Gk neko2, gk berat dikulit, gk berbau, gk mahal, pokoknya cinta lah ð", Official Brand Store,recommends this product!,0
