types,tones,undertones,age,periode,content,buy,recommend,likes
oily, medium light, cool,25 - 29,1 month - 3 months,beli ini impulsif aja karena murah lol  walaupun di labelnya buat dry skin sedangkan kulitku normal to oily  di aku tetep cocok  teksturnya agak lebih kental dari varian light lotion  ijo   tapi ga lengket  karena dia ga se watery yang ijo  aku pakenya cuma 4 5 tetes dan cuma 1x layer udah cukup buat muka dan leher  dan karena cuma butuh sedikit  jadi awet banget berbulan bulan  aku pakenya langsung dilayer moisturizer pas masih lembap karena hydrating products harus langsung dikunci sama occlusive biar kelembapan dari humectants kaya hyaluronic acid  ha  ga cepet menguap  baru kali ini ngerasain efek plumping yang instant dari produk yang key ingredientsnya ha  aku pribadi ga terlalu tertarik sama ha karena selama ini efeknya biasa aja di aku dan menurutku overrated  tapi di produk ini baru kerasa efeknya  so i can see why people like this product  kalo yang ijo kurang kerasa efek plumpingnya di aku  tapi emang efek ha temporary sih  jadi aku ga terlalu berharap bakal ngefek jangka panjang  this is still a great hydrating product though  and tbh i   d chose this over other overpriced ha serums any day  ingredientsnya ga aneh aneh  no fragrance  no essential oils  harga terjangkau dan gampang ditemuin di mana mana ,watson,recommends this product,5
normal, medium dark, warm,19 - 24,more than 1 year,toner pertamaku dan suka banget  teksturnya ringan dan cair  cukup melembabkan juga  biasanya aku pake beberapa layer  so far cocok dikulit aku  mama juga suka pake  pakenya agak banyakan juga lumayan awet  gak habis habis  udah habis beberapa botol ,transmart,recommends this product,0
combination, medium, neutral,19 - 24,1 month - 3 months,first time nyoba produk ini yang 30ml dan gak ada efek samping apa pun  jadi karena udah abis  aku beli sekalian yang 100mlnya teksturnya cair dan gak berbau tajam  friendly for my skin  it soothes and hydrates but not pricey at all  my experience with this product so far so good  recommended  ,shopee,recommends this product,0
normal, medium light, neutral,19 - 24,6 months - 1 year,produk ini pernah vital dan jadilah susah untuk ku pengguna lama menemukannya uu teksturnya cair tapi dan tidak berbau sama sekali  cepet meresap dan beneran bikin kulit jadi lembab dan kenyal  pakai ini udah lama banget dia juga bikin wajah jadi cerah dan ternutrisi,transmart,recommends this product,0
dry, medium, neutral,19 - 24,more than 1 year,hydrating toner andalan banget udah repurchase beberapa kali dari sebelum pandemi sampe sekarang pake terus  comfort product buat aku banget must try buat yg punya kulit kering bikin lembab kulit muka kita      ,tokopedia,recommends this product,0
combination, medium, neutral,19 - 24,1 month - 3 months,gacocokkkkk  emang bener jangan ekspektasi kebanyakan sama produk yg hype di orang pasti nanti susah cocoknya di muka kita sendiri      awal awalnya lumayan sih ngelembapin juga cuma makin lama dia kaya bikin wajah aku gradakan dan jerawatan  sensitif sih kulit aku jadi mungkin gacocok buat yg sensitif acne prone  aku saranin coba yg premium deh  lebih bagussss,shopee,doesnt recommend this product,0
combination, medium light, warm,18 and under,6 months - 1 year,dia ada banget efek hydrate nya  apalgi klo aku lagi seringn di dalam ruangan ber ac dan bikin kulitku kering samps ngelupas  toner yg ini bener bener ngebantu lembabin banget  setela pemakain    setahun menurutku dikit demi sedikit  dia ada efek brighteningnya  tp emang proses nya lama bgt ,shopee,recommends this product,0
dry, light, cool,35 - 39,more than 1 year,ini harusnya masuk dalam kategori produk terbaik di seluruh dunia  kegunaannya sih sebetulnya untuk toner  tapi aku pakenya untuk essence  setelah toner   karna teksturnya lumayan kental  bukan cair selayaknya toner  ini seharusnya produk dengan kata  wajib banget ada  sih di rangkaian skincare semua cewek  efek lembab nya tuh berasa banget  harganya murah  satu botol baru abis sekitar 3 bulanan  itupun aku pakenya udah boros banget  cobain deh  kualitasnya gak ada yang ngalahin ,tokopedia,recommends this product,0
oily, light, cool,18 and under,less than 1 week,alhamdulillah cocok  tekstur nya sedikit gel  tidak sepenuhnya air  hasil akhir semi matte  bikin muka kenyal halus gituu  tidak ada parfum  ingredients minimalis  sensitive skin friendly   oke bgt buat melembabkan  untuk dry skin mungkin bisa pakai bbrp layer  sy combi to oily cukup 1 layer dan 2 layer untuk kedua pipi ,shopee,recommends this product,1
oily, medium, neutral,19 - 24,more than 1 year,kenangan di hati      walau udah gk beli krn ngurangin budget skincare  tapi ini emang bagus bgt bahkan lebih enak ini ketimbang yg gokujyun premium  bisa dilayer berkali2  ampuh buat nambah hidrasi kulit  bahkan bisa buat bibir sblm pake lipblam petroleum jelly  gk neko2  gk berat dikulit  gk berbau  gk mahal  pokoknya cinta lah     ,official brand store,recommends this product,0
oily, light, cool,19 - 24,3 months - 6 months,dengan harganya yg affordable bgtt  tekturnya cair bngt dan lumayan cukip gampang nyerep cocok cocok aja si okee gt dikulit minuakan akuu  sukaaa  pokoknya overall oke bagus baik aja si hadalabo belum pernah ada masalah sm produk ini overall oke,guardian,recommends this product,0
dry, medium light, neutral,19 - 24,more than 1 year,toner yang sangat amat nyaman dipakai dan sangat amat melembabkan juga  tidak lengket dan mempunyai bau apapun  tidak ada keluhan seperti wajah menjadi lebih kusam atau berjerawat saat menggunakan produk ini  sangat amat cocok untuk digunakan daily,shopee,recommends this product,0
